"Source Text","Translated Text","Language"
"Driver","سائق","ar"
"Vehicle Number","رقم السيارة","ar"
"Phone Number","رقم الهاتف","ar"
"Status","الحالة","ar"
"Active","نشط","ar"
"Inactive","غير نشط","ar"
"Village","قرية","ar"
"Village Name","اسم القرية","ar"
"Region/Province","المنطقة/المحافظة","ar"
"Driver Responsible","السائق المسؤول","ar"
"Supplier","مورد","ar"
"Supplier Name","اسم المورد","ar"
"Milk Type","نوع اللبن","ar"
"Morning Quantity","الكمية الصباحية","ar"
"Evening Quantity","الكمية المسائية","ar"
"Vehicle Weight Before Delivery","وزن السيارة قبل التسليم","ar"
"Vehicle Weight After Delivery","وزن السيارة بعد التسليم","ar"
"Inventory","المخزون","ar"
"Cow Milk Quantity","كمية اللبن البقري","ar"
"Buffalo Milk Quantity","كمية اللبن الجاموسي","ar"
"Daily Collection Summary","ملخص الجمع اليومي","ar"
"Supplier Contribution","إسهام المورد","ar"
"Driver","السائق","ar"
"Village","القرية","ar"
"Supplier","المورد","ar"
"Morning Quantity","الكمية الصباحية","ar"
"Evening Quantity","الكمية المسائية","ar"
